iso,year,start,end,obs_matdeaths,pm_obs,env,mmr_obs,shortcite,obs_selogpm,type,modelinclude,crvs_completeness,definition,sens,var_sens,sens_sq,oneminsens_sq,spec,var_spec,spec_sq,oneminspec_sq,cov_sesp,completeness_inq
ARG,2014.5,2014,2015,320,0.031021338591853985,10315.480070354864,NA,Omisión de registros de causas maternas de muerte en Argentina: estudio observacional de alcance nacional,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,1979,1973,1985,334,NA,NA,NA,Maternal deaths in Australia 1973–1996,NA,inq,FALSE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,1991,1985,1997,250,0.006146831622505842,40671.35971069336,NA,Maternal deaths in Australia 1973–1996,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,1995.5,1994,1997,80,0.007794599540265097,10263.516372680664,NA,"Maternal Deaths in Australia, 1994–1996",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,1998.5,1997,2000,54,0.005040467174354618,10713.292663574219,NA,Maternal deaths in Australia 1997-1999,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2001.5,2000,2003,44,0.004329497043081579,10162.843296153957,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2004.5,2003,2006,36,0.0036027840167873093,9992.272595930433,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2008.5,2006,2011,63,0.0038644234214033155,16302.561373339975,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2010.5,2008,2013,75,0.004610422229012958,16267.490540894925,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2011.5,2011,2012,26,0.007860045347055372,3307.8689564736983,NA,Maternal deaths in Australia 2012-2014,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2012.5,2012,2013,27,0.008551561226185268,3157.3182119452968,NA,Maternal deaths in Australia 2012-2014,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2013.5,2012,2015,63,0.006547013006673843,9622.708849941118,NA,Maternal deaths in Australia 2012-2014,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,1989.5,1980,1999,191,0.00800570039399782,23858,NA,"Under-reporting of direct and indirect obstetrical deaths in Austria, 1980–98",NA,inq,FALSE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2000.5,2000,2001,3,0.0019633508596297758,1527.9999421833866,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2001.5,2001,2002,5,0.003462603936297401,1443.999975736917,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2002.5,2002,2003,7,0.004874651775946939,1436.000010203846,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2003.5,2003,2004,2,0.0013726836190651062,1456.9999759756295,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2004.5,2004,2005,5,0.003885003968120181,1286.9999724657494,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2005.5,2005,2006,7,0.005147058934059215,1359.9999707948687,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2006.5,2006,2007,3,0.002356637977683799,1272.9999382206868,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,1996.5,1996,1997,3039,0.04899163321565024,62031,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8315341919381741
BRA,1997.5,1997,1998,3319,0.05453231027060776,60863,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8433772790805202
BRA,1998.5,1998,1999,3467,0.055752995095280214,62185,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8540507705445709
BRA,1999.5,1999,2000,3004,0.04844536188878854,62008,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8652869808137951
BRA,2000.5,2000,2001,2351,0.03349053474062954,70198.93884070622,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2001.5,2001,2002,2209,0.035959043479676385,61431,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8846593238176297
BRA,2002.5,2002,2003,2321,0.03745662874203179,61965,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8915194044306649
