IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2017,true,,,,,,,,,,,,,13,,,12,,14,13 [12 – 14],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2017,true,,,,,,,,,,,,,152,,,132,,180,152 [132 – 180],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2017,true,,,,,,,,,,,,,164,,,138,,217,164 [138 – 217],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2017,true,,,,,,,,,,,,,211,,,199,,243,211 [199 – 243],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2017,true,,,,,,,,,,,,,41,,,36,,49,41 [36 – 49],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2017,true,,,,,,,,,,,,,525,,,480,,629,525 [480 – 629],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2017,true,,,,,,,,,,,,,57,,,55,,62,57 [55 – 62],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2017,true,,,,,,,,,,,,,1400,,,1300,,1600,"1,400 [1,300 – 1,600]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2017,true,,,,,,,,,,,,,192000,,,176000,,230000,"192,000 [176,000 – 230,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2017,true,,,,,,,,,,,,,295000,,,279000,,340000,"295,000 [279,000 – 340,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2017,true,,,,,,,,,,,,,30000,,,25000,,39000,"30,000 [25,000 – 39,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2017,true,,,,,,,,,,,,,53000,,,46000,,63000,"53,000 [46,000 – 63,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2017,true,,,,,,,,,,,,,8500,,,8100,,9200,"8,500 [8,100 – 9,200]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2017,true,,,,,,,,,,,,,9800,,,8600,,12000,"9,800 [8,600 – 12,000]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2016,false,,,,,,,,,,,,,13,,,12,,15,13 [12 – 15],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2016,false,,,,,,,,,,,,,157,,,138,,185,157 [138 – 185],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2016,false,,,,,,,,,,,,,169,,,142,,222,169 [142 – 222],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2016,false,,,,,,,,,,,,,214,,,203,,244,214 [203 – 244],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2016,false,,,,,,,,,,,,,42,,,37,,49,42 [37 – 49],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2016,false,,,,,,,,,,,,,536,,,491,,633,536 [491 – 633],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2016,false,,,,,,,,,,,,,59,,,56,,63,59 [56 – 63],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2016,false,,,,,,,,,,,,,1500,,,1400,,1600,"1,500 [1,400 – 1,600]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2016,false,,,,,,,,,,,,,10000,,,8900,,12000,"10,000 [8,900 – 12,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2016,false,,,,,,,,,,,,,194000,,,177000,,229000,"194,000 [177,000 – 229,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2016,false,,,,,,,,,,,,,30000,,,26000,,40000,"30,000 [26,000 – 40,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2016,false,,,,,,,,,,,,,300000,,,284000,,341000,"300,000 [284,000 – 341,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2016,false,,,,,,,,,,,,,55000,,,49000,,65000,"55,000 [49,000 – 65,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2016,false,,,,,,,,,,,,,8700,,,8300,,9400,"8,700 [8,300 – 9,400]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2015,false,,,,,,,,,,,,,14,,,13,,15,14 [13 – 15],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2015,false,,,,,,,,,,,,,165,,,146,,192,165 [146 – 192],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2015,false,,,,,,,,,,,,,175,,,150,,226,175 [150 – 226],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2015,false,,,,,,,,,,,,,219,,,208,,247,219 [208 – 247],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2015,false,,,,,,,,,,,,,43,,,38,,50,43 [38 – 50],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2015,false,,,,,,,,,,,,,548,,,504,,641,548 [504 – 641],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2015,false,,,,,,,,,,,,,59,,,57,,64,59 [57 – 64],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2015,false,,,,,,,,,,,,,1500,,,1500,,1700,"1,500 [1,500 – 1,700]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2015,false,,,,,,,,,,,,,11000,,,9400,,12000,"11,000 [9,400 – 12,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2015,false,,,,,,,,,,,,,195000,,,180000,,228000,"195,000 [180,000 – 228,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2015,false,,,,,,,,,,,,,306000,,,291000,,345000,"306,000 [291,000 – 345,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2015,false,,,,,,,,,,,,,31000,,,27000,,40000,"31,000 [27,000 – 40,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2015,false,,,,,,,,,,,,,58000,,,52000,,68000,"58,000 [52,000 – 68,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2015,false,,,,,,,,,,,,,8800,,,8400,,9500,"8,800 [8,400 – 9,500]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2014,false,,,,,,,,,,,,,14,,,13,,15,14 [13 – 15],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2014,false,,,,,,,,,,,,,173,,,154,,200,173 [154 – 200],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2014,false,,,,,,,,,,,,,186,,,159,,235,186 [159 – 235],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2014,false,,,,,,,,,,,,,224,,,213,,251,224 [213 – 251],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2014,false,,,,,,,,,,,,,44,,,40,,51,44 [40 – 51],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2014,false,,,,,,,,,,,,,562,,,518,,648,562 [518 – 648],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2014,false,,,,,,,,,,,,,60,,,57,,64,60 [57 – 64],,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2014,false,,,,,,,,,,,,,1600,,,1500,,1800,"1,600 [1,500 – 1,800]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2014,false,,,,,,,,,,,,,11000,,,9800,,13000,"11,000 [9,800 – 13,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2014,false,,,,,,,,,,,,,197000,,,182000,,228000,"197,000 [182,000 – 228,000]",,,EN,2019-12-13T00:00:00.000Z
